bill_id,title,congress,chamber,sponsor,introduced_date,latest_action,policy_area,entity_names
106-hr-2484,To provide that land which is owned by the Lower Sioux Indian Community in the State of Minnesota but which is not held in trust by the United States for the Community may be leased or transferred by the Community without further approval by the United States.,106,House,"Rep. Minge, David [D-MN-2]",1999-07-12,Became Public Law No: 106-217.,Native Americans,Lower Sioux
106-hr-2664,Spokane Tribe of Indians of the Spokane Reservation Grand Coulee Dam Equitable Compensation Settlement Act,106,House,"Rep. Nethercutt, George R., Jr. [R-WA-5]",1999-07-30,Referred to the House Committee on Resources.,Native Americans,Spokane
106-hr-2671,Yankton Sioux Tribe and Santee Sioux Tribe of Nebraska Development Trust Fund Act,106,House,"Rep. Barrett, Bill [R-NE-3]",1999-08-02,"Placed on the Union Calendar, Calendar No. 416.",Native Americans,Santee Sioux|Yankton
106-hr-2820,"To provide for the ownership and operation of the irrigation works on the Salt River Pima-Maricopa Indian Community's reservation in Maricopa County, Arizona, by the Salt River Pima-Maricopa Indian Community.",106,House,"Rep. Hayworth, J. D. [R-AZ-6]",1999-09-09,Received in the Senate.,Native Americans,Salt River
106-hr-2875,"To amend the Klamath River Basin Fishery Resources Restoration Act to provide for tribal representation on the Klamath Fishery Management Council, to clarify allocation of the annual tribal catch, and for other purposes.",106,House,"Rep. Herger, Wally [R-CA-2]",1999-09-15,Subcommittee Hearings Held.,Native Americans,Klamath
106-hr-3090,"To amend the Alaska Native Claims Settlement Act to restore certain lands to the Elim Native Corporation, and for other purposes.",106,House,"Rep. Young, Don [R-AK-At Large]",1999-10-18,Became Public Law No: 106-194.,Native Americans,Elim Native Corporation
106-hr-3181,"To permit the leasing of oil and gas rights on certain lands held in trust for the Navajo Nation or alloted to a member of the Navajo Nation, in any case in which there is consent from a specified percentage interest in the parcel of land under consideration for lease.",106,House,"Rep. Udall, Tom [D-NM-3]",1999-10-28,Committee Hearings Held.,Native Americans,Navajo
106-hr-3291,Shivwits Band of the Paiute Indian Tribe of Utah Water Rights Settlement Act,106,House,"Rep. Hansen, James V. [R-UT-1]",1999-11-10,Became Public Law No: 106-263.,Native Americans,Paiute of Utah
106-hr-4725,To amend the Zuni Land Conservation Act of 1990 to provide for the expenditure of Zuni funds by that tribe.,106,House,"Rep. Skeen, Joe [R-NM-2]",2000-06-22,"House Committee on Education and the Workforce Granted an extension for further consideration ending not later than Dec. 15, 2000.",Native Americans,Zuni
106-hr-4842,King Salmon Traditional Village and the Shoonaq Tribe of Kodiak Recognition Act ,106,House,"Rep. Young, Don [R-AK-At Large]",2000-07-12,Executive Comment Requested from Interior.,Native Americans,King Salmon
106-hr-5280,To amend the Equity in Educational Land-Grant Status Act of 1994 to add White Earth Tribal and Community College to the list of 1994 Institutions.,106,House,"Rep. Peterson, Collin C. [D-MN-7]",2000-09-25,Executive Comment Requested from USDA.,Education,White Earth
106-hr-5374,Santo Domingo Pueblo Claims Settlement Act of 2000,106,House,"Rep. Udall, Tom [D-NM-3]",2000-10-03,Referred to the House Committee on Resources.,Native Americans,Santo Domingo
106-hr-5398,To provide that land which is owned by the Coushatta Tribe of Louisiana but which is not held in trust by the United States for the Tribe may be leased or transferred by the Tribe without further approval by the United States.,106,House,"Rep. John, Christopher [D-LA-7]",2000-10-05,Received in the Senate.,Native Americans,Coushatta
