cedar_uid,name,entity_class,name_source,name_source_label,name_source_url,name_captured,name_match_route,prior_canonical_name,name_differs_from_prior
CE-000NS-Z1,"Westwater Financial, Inc.",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Westwater Financial, Inc.",0
CE-000NT-5T,Yurok Alliance for Northern California Housing,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Yurok Alliance for Northern California Housing,0
CE-000NV-BK,Bank Of Cherokee County,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Bank Of Cherokee County,0
CE-000NW-HC,"Cherokee Unlimited, Inc",Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Cherokee Unlimited, Inc",0
CE-000NX-Q5,Cherokee Termite And Pest Control,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Termite And Pest Control,0
CE-000NY-XY,"Cherokee Components, Llc",Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Cherokee Components, Llc",0
CE-000NZ-3Q,Cherokee - Technical Specialis,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee - Technical Specialis,0
CE-000P0-E0,"Cherokee Advanced Systems, Inc",Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Cherokee Advanced Systems, Inc",0
CE-000P1-MS,Cherokee Chainlink And Construction Incorporated,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Chainlink And Construction Incorporated,0
CE-000P2-TJ,The Cherokee 8A Group Incorporated,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,The Cherokee 8A Group Incorporated,0
CE-000P3-0B,"Cherokee Construction, Inc.",Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Cherokee Construction, Inc.",0
CE-000P4-64,Cherokee Asphalt Solutions Llc,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Asphalt Solutions Llc,0
CE-000P5-CX,Cherokee Hardware,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Hardware,0
CE-000P6-JP,Cherokee Joint Venture Limited Liability Company,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Joint Venture Limited Liability Company,0
CE-000P7-RF,Cherokee Energy Management & Construction Inc,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Energy Management & Construction Inc,0
CE-000P8-Y8,Cherokee Enterprises Inc,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Enterprises Inc,0
CE-000P9-41,"Cherokee Construction Services, Llc",Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Cherokee Construction Services, Llc",0
CE-000PA-AT,Cherokee Holdings Llc,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Holdings Llc,0
CE-000PB-GK,Cherokee Veterans Construction,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Veterans Construction,0
CE-000PC-PC,"Cherokee Enterprises, Inc.",Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Cherokee Enterprises, Inc.",0
CE-000PD-W5,Cherokee Midwest Exterminating Company,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Midwest Exterminating Company,0
CE-000PE-2Y,Cherokee Products Incorporated,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Products Incorporated,0
CE-000PF-8Q,Cherokee Construction Inc,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Construction Inc,0
CE-000PG-EG,"C.I.S. Contracting, Llc",Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"C.I.S. Contracting, Llc",0
CE-000PH-M9,"Cherokee Controls, Inc",Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Cherokee Controls, Inc",0
CE-000PJ-T2,"Cherokee Fire Protection, Llc",Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Cherokee Fire Protection, Llc",0
CE-000PK-0V,Cherokee Integrated Technologi,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Integrated Technologi,0
CE-000PM-6M,Cherokee Information Systems Limited Liability Company,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Information Systems Limited Liability Company,0
CE-000PN-CD,Cherokee Mechanical Inc,Individually Native-owned business,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Cherokee Mechanical Inc,0
