handle,cedar_uid,valid_from,valid_to,status,change_reason,recorded_date
AKNF-TATTLK-00-CHGCCO-CHGCMT,CE-00065-WX,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-TAZLNA-00-AHTNAI-CPPRRV,CE-00066-2P,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-TELIDA-00-DOYONL-TNNACH,CE-00067-8F,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-TELLER-00-BERSTR-KAWRAK,CE-00068-E8,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-TETLIN-00-DOYONL-TNNACH,CE-00069-M1,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-TKOTNA-00-DOYONL-TNNACH,CE-0006A-TT,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-TLNGHD-00-SEALSK,CE-0006B-0K,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-TLUKSK-00-CALSTA-ASVCPR,CE-0006C-6C,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-TNCRSS-00-DOYONL-TNNACH,CE-0006D-C5,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-TNGRNQ-00-KONIAG,CE-0006E-JY,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-TNTTLK-00-CALSTA-ASVCPR,CE-0006F-RQ,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-TOGIAK-00-BRBYCO-BRBYAS,CE-0006G-YG,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-TUNNAK-00-CALSTA-ASVCPR,CE-0006H-49,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-TWINHL-00-BRBYCO-BRBYAS,CE-0006J-A2,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-TYONEK-00-CKINLT,CE-0006K-GV,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-UGASHK-00-BRBYCO-BRBYAS,CE-0006M-PM,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-UMKUMT-00-CALSTA-ASVCPR,CE-0006N-WD,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-UNLKLT-00-BERSTR-KAWRAK,CE-0006P-26,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-VANIAK-00-CALSTA-ASVCPR,CE-0006Q-8Z,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-VEAGLE-00-DOYONL-TNNACH,CE-0006R-ER,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-VEKWOK-00-BRBYCO-BRBYAS,CE-0006S-MH,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-VENTGV-00-DOYONL,CE-0006T-TA,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-VENTVL-00-DOYONL-CATHTG-TNNACH-VENTGV,CE-0006V-03,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-VILMNA-00-BRBYCO-BRBYAS,CE-0006W-6W,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-VKIANA-00-NANARC-MANLLQ,CE-0006X-CN,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-VLKAKE-00-SEALSK-TLNGHD,CE-0006Y-JE,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-VMINTO-00-DOYONL-TNNACH,CE-0006Z-R7,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-VPAIMT-00-CALSTA-ASVCPR,CE-00070-3G,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-VWALES-00-BERSTR-KAWRAK,CE-00071-99,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-WAINWT-00-ARCSLO,CE-00072-F2,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-WRNGLL-00-SEALSK-TLNGHD,CE-00073-NV,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-YKTTLN-00-SEALSK-TLNGHD,CE-00074-VM,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-YUPIIT-00-CALSTA-ASVCPR,CE-00075-1D,2026-08-29,,current,first recorded binding,2026-08-29
ANRC-AHTNAI-00,CE-00076-76,2026-08-29,,current,first recorded binding,2026-08-29
ANRC-ALEUTC-00,CE-00077-DZ,2026-08-29,,current,first recorded binding,2026-08-29
ANRC-ARCSLO-00,CE-00078-KR,2026-08-29,,current,first recorded binding,2026-08-29
