=== OCR START 16:50:36  files=155 pages=994
ok   1.4s pages=  1 chars=     73  2019__Doyon_Limited__2019_Doyon_Settlement_Trust_Report_1-29-20__166f7481.pdf
ok   0.8s pages=  1 chars=     67  2019__Sealaska_Corporation__2019_Sealaska_Annual_Report_5-6-2020__74a89774.pdf
ok   1.1s pages=  1 chars=     57  2020__Ahtna_Inc.__2020_Ahtna_Annual_Report_4-19-21__a104d0e6.pdf
ok   1.0s pages=  1 chars=     50  2020__Doyon_Limited__2020_Doyon_Limited_-_Settlement_Trust_Report_Rec._1-29-21_A
ok   1.9s pages=  1 chars=     31  2021__Ahtna_Inc.__2021_Ahtna_Annual_Report_04-26-22__17322efc.pdf
ok   0.8s pages=  1 chars=     38  2021__Aleut_Corporation__2021_Aleut_Corporation_Annual_Report_09-03-21_5__2501b3
ok   1.7s pages=  1 chars=     28  2021__Chugach_Alaska_Corporation__2021_Chugach_Alaska_Annual_Report_07-07-22__d0
ok   0.4s pages=  1 chars=     52  2021__Sealaska_Corporation__2021_Sealaska_Annual_Report_05-13-22__67e1471c.pdf
ok   1.4s pages=  1 chars=     98  2022__Aleut_Corporation__2022_Aleut_Corporation_Annual_Report_10-5-22__f6c87d53.
ok   1.1s pages=  1 chars=    120  2022__Bristol_Bay_Native_Corporation__2022_Bristol_Bay_Annual_Report_08-16-22__5
ok   1.4s pages=  1 chars=     45  2022__Doyon_Limited__2022_Doyon_Annual_Report_1-25-23__51557004.pdf
ok   1.9s pages=  1 chars=     53  2022__Doyon_Limited__2022_Doyon_Settlement_Trust_Report_1-25-23_2__bf9455ab.pdf
ok   0.3s pages=  1 chars=     19  2022__Sealaska_Corporation__2022_Sealaska_VIkki_Mata_Proxy_Materials_06-06-22__8
ok   1.2s pages=  1 chars=     73  2023__Bering_Straits_Native_Corporation__2023_Bering_Straits_Annual_Report_8-17-
ok   1.7s pages=  1 chars=     17  2023__Doyon_Limited__2023_Doyon_Annual_Report_1-24-24_2__d8de3fe6.pdf
ok   1.0s pages=  1 chars=     78  2023__NANA_Regional_Corporation_Inc.__2023_NANA_Annual_Report_2-01-24__20924fbf.
ok   4.4s pages=  1 chars=    228  2024__Bering_Straits_Native_Corporation__2024_Bering_Straits_Financials_8-12-24_
ok   0.8s pages=  1 chars=     77  2024__Cook_Inlet_Region_Inc.___2024_CIRI_Annual_Report_4-10-25__25857775.pdf
ok   1.1s pages=  1 chars=     68  2024__Doyon_Limited__2024_Doyon_Annual_Report_1-22-25_2__16096f73.pdf
ok   1.0s pages=  1 chars=     11  2024__Doyon_Limited__2024_Doyon_Annual_Report_1-22-25__9a3255ca.pdf
ok   1.0s pages=  1 chars=     68  2024__Doyon_Limited__2024_Doyon_Annual_Report_Settlement_Trust_2-11-26__b322036f
ok   2.2s pages=  1 chars=      0  2024__NANA_Regional_Corporation_Inc.__2024_Nana_Annual_Report_2-6-25__820e817d.p
ok   2.3s pages=  1 chars=    788  2025__Ahtna_Inc.__2025_Ahtna_Inc._Annual_Report_4-28-2026__caf1c725.pdf
ok   2.3s pages=  1 chars=     80  2025__Bering_Straits_Native_Corporation__2025_Bering_Straits_Native_Corporation_
ok   3.2s pages=  1 chars=     68  2025__Calista_Corporation__2025_Calista_Corporation_Annual_Report_4-28-2026_2__7
ok   0.7s pages=  1 chars=     63  2025__Chugach_Alaska_Corporation__2025_Chugach_Alaska_Corporation_Annual_Report_
ok   4.7s pages=  1 chars=      0  2025__Cook_Inlet_Region_Inc.___2025_CIRI_Annual_Report_4-17-2026_5__4360ed40.pdf
ok   1.2s pages=  1 chars=      0  2026__Bering_Straits_Native_Corporation__2026_Bering_Straits_Native_Corporation_
ok   0.5s pages=  1 chars=    201  2022__Sealaska_Corporation__2022_Sealaska_VIkki_Mata_Proxy_Materials_05-23-22_2_
ok   0.6s pages=  1 chars=    338  2022__Sealaska_Corporation__2022_Sealaska_VIkki_Mata_Proxy_Materials_05-23-22_3_
ok   0.4s pages=  1 chars=     42  2022__Sealaska_Corporation__2022_Sealaska_VIkki_Mata_Proxy_Materials_05-23-22_4_
ok   0.4s pages=  1 chars=    131  2022__Sealaska_Corporation__2022_Sealaska_VIkki_Mata_Proxy_Materials_05-23-22_5_
ok   0.5s pages=  1 chars=    286  2022__Sealaska_Corporation__2022_Sealaska_VIkki_Mata_Proxy_Materials_05-23-22__a
=== OCR DONE 17:18:01 pages=994
